time,grid,algorithm,program,dt,mean_elev__change,max_elev__change,local_elev__max_change,net_flux
4100000,raster,tvd,ttlem,2500,0.00363011270718516,0.0213472027766102,27.7973245506117,3.63011270659692e-08
4200000,raster,tvd,ttlem,2500,0.00463470200332949,0.0193761932088137,38.3489215217982,4.63470200248288e-08
4300000,raster,tvd,ttlem,2500,0.0048302127593729,0.0150336625481486,32.3275923154388,4.83021276009899e-08
4400000,raster,tvd,ttlem,2500,0.00346776171829788,0.0105999707160436,23.2522962355829,3.46776171778949e-08
4500000,raster,tvd,ttlem,2500,0.00241380328156993,0.00776945062011691,32.1999452526161,2.41380328246346e-08
4600000,raster,tvd,ttlem,2500,0.00165268994396683,0.00705963642803908,20.3286984980373,1.65268994389642e-08
4700000,raster,tvd,ttlem,2500,0.00285533478239586,0.00676547761111124,25.5549403276427,2.85533478154945e-08
4800000,raster,tvd,ttlem,2500,0.00346439246857244,0.00572296971347441,27.278628133084,3.46439247012664e-08
4900000,raster,tvd,ttlem,2500,0.00372044052659248,0.00430791140843212,29.1241746010792,3.72044052493948e-08
5000000,raster,tvd,ttlem,2500,0.00242859467476819,0.00297230982027941,23.5391694897452,2.42859467523923e-08
5100000,raster,tvd,ttlem,2500,0.0015126665488765,0.00183117231244978,13.852217264033,1.51266654926959e-08
5200000,raster,tvd,ttlem,2500,0.00402054712930067,0.00259647087239046,34.373849039907,4.02054712872774e-08
5300000,raster,tvd,ttlem,2500,0.00560350451519298,0.00699631219276853,47.3244727004059,5.60350451680364e-08
5400000,raster,tvd,ttlem,2500,0.00550360064517008,0.0133067883760987,37.6705016052292,5.50360064402952e-08
5500000,raster,tvd,ttlem,2500,0.00492446985748529,0.0176019259827171,38.4573488803441,4.9244698577065e-08
5600000,raster,tvd,ttlem,2500,0.0040496310632534,0.0182041671555453,28.1899555085844,4.04963106344421e-08
5700000,raster,tvd,ttlem,2500,0.00341979397842351,0.0166400878365494,29.6663901949821,3.41979397727047e-08
5800000,raster,tvd,ttlem,2500,0.0037448473649988,0.0144882778475903,35.7071702406801,3.74484736478383e-08
5900000,raster,tvd,ttlem,2500,0.00546711186046878,0.0136483336979154,40.8561318338547,5.46711186160095e-08
6000000,raster,tvd,ttlem,2500,0.00629307951834335,0.013796528076341,28.2212376125236,6.29307951830025e-08
6100000,raster,tvd,ttlem,2500,0.00452715173264551,0.0125643550592258,21.3543355123788,4.52715173176755e-08
